Timestamp,Open,High,Low,Close,Volume
1279411200,0.0,0.1,0.1,0.1,3650.0
1279843200,0.1,0.1,0.1,0.1,8700.0
1280275200,0.1,0.1,0.1,0.1,22090.0
1280707200,0.1,0.1,0.1,0.1,23340.0
1281139200,0.1,0.1,0.1,0.1,33820.0
1281571200,0.1,0.1,0.1,0.1,25240.0
1282003200,0.1,0.1,0.1,0.1,31520.0
1282435200,0.1,0.1,0.1,0.1,37760.0
1282867200,0.1,0.1,0.0,0.1,67430.0
1283299200,0.1,0.1,0.1,0.1,27970.0
1283731200,0.1,0.1,0.1,0.1,13390.0
1284163200,0.1,0.2,0.1,0.1,36290.0
1284595200,0.1,0.1,0.1,0.1,42240.0
1285027200,0.1,0.1,0.1,0.1,35640.0
1285459200,0.1,0.1,0.1,0.1,61300.0
1285891200,0.1,0.1,0.1,0.1,83480.0
1286323200,0.1,0.1,0.0,0.1,454940.0
1286755200,0.1,0.1,0.1,0.1,149170.0
1287187200,0.1,0.1,0.1,0.1,88280.0
1287619200,0.1,0.2,0.1,0.1,127990.0
1288051200,0.1,0.2,0.1,0.2,161760.0
1288483200,0.2,0.3,0.1,0.2,158620.0
1288915200,0.2,0.5,0.2,0.2,312780.0
1289347200,0.2,0.3,0.1,0.3,114900.0
1289779200,0.3,0.3,0.2,0.3,114920.0
1290211200,0.3,0.3,0.3,0.3,51010.0
1290643200,0.3,0.3,0.2,0.2,92900.0
1291075200,0.2,0.3,0.2,0.2,81080.0
1291507200,0.2,0.2,0.2,0.2,59420.0
1291939200,0.2,0.2,0.2,0.2,26240.0
1292371200,0.2,0.3,0.2,0.2,20750.0
1292803200,0.2,0.3,0.2,0.2,37390.0
1293235200,0.2,0.3,0.2,0.3,56280.0
1293667200,0.3,0.3,0.3,0.3,13590.0
1294099200,0.3,0.3,0.3,0.3,49930.0
1294531200,0.3,0.4,0.3,0.3,68390.0
1294963200,0.3,0.4,0.3,0.3,65340.0
1295395200,0.3,0.4,0.3,0.4,47330.0
1295827200,0.4,0.4,0.4,0.4,61830.0
1296259200,0.4,0.9,0.4,0.7,112540.0
1296691200,0.7,0.9,0.7,0.9,77540.0
1297123200,0.9,1.1,0.8,1.1,100630.0
1297555200,1.1,1.1,1.0,1.0,30160.0
1297987200,1.0,1.0,0.8,0.9,64520.0
1298419200,0.9,1.0,0.9,0.9,52610.0
1298851200,0.9,1.0,0.8,0.9,35420.0
1299283200,0.9,0.9,0.8,0.9,49550.0
1299715200,0.9,0.9,0.8,0.9,23350.0
1300147200,0.9,0.9,0.7,0.8,41930.0
1300579200,0.8,0.9,0.7,0.9,48940.0
1301011200,0.9,0.9,0.8,0.8,38710.0
1301443200,0.8,0.8,0.8,0.8,19710.0
1301875200,0.8,0.8,0.6,0.8,78630.0
1302307200,0.8,1.0,0.7,0.9,123940.0
1302739200,0.9,1.2,0.9,1.2,162000.0
1303171200,1.2,2.0,1.1,1.7,179250.0
1303603200,1.7,2.7,1.5,2.2,192360.0
1304035200,2.2,4.2,2.2,3.4,204030.0
1304467200,3.4,3.9,3.3,3.9,94610.0
1304899200,3.9,8.4,3.7,8.2,216030.0
1305331200,8.2,8.9,5.8,6.9,178580.0
1305763200,6.9,7.4,5.6,7.2,159160.0
1306195200,7.2,9.3,7.0,8.3,148660.0
1306627200,8.3,10.9,8.1,10.6,155490.0
1307059200,10.6,24.3,10.6,23.9,250550.0
1307491200,23.9,31.9,10.3,18.5,533130.0
1307923200,18.5,24.5,13.0,15.7,295110.0
1308355200,15.7,18.9,15.1,17.5,65720.0
1308787200,17.5,18.0,14.0,16.8,46500.0
1309219200,16.8,17.5,15.3,15.4,133130.0
1309651200,15.4,16.5,11.0,14.8,319440.0
1310083200,14.8,15.7,13.8,14.0,167560.0
1310515200,14.0,14.1,13.0,13.2,104460.0
1310947200,13.2,14.7,12.5,13.7,206850.0
1311379200,13.7,14.7,13.5,13.9,108960.0
1311811200,13.9,14.9,12.8,13.1,113570.0
1312243200,13.1,13.1,5.7,6.6,330800.0
1312675200,6.6,12.1,6.0,9.5,320710.0
1313107200,9.5,11.9,8.9,11.0,168970.0
1313539200,11.0,11.8,10.7,11.3,83470.0
1313971200,11.3,11.5,7.6,8.2,196090.0
1314403200,8.2,9.5,8.0,8.2,99230.0
1314835200,8.2,8.7,7.3,7.6,86140.0
1315267200,7.6,7.7,4.2,4.8,425950.0
1315699200,4.8,7.4,4.4,4.8,361400.0
1316131200,4.8,6.8,4.6,6.1,263160.0
1316563200,6.1,6.3,5.1,5.3,182910.0
1316995200,5.3,5.4,4.6,5.1,166900.0
1317427200,5.1,5.3,4.8,4.9,84590.0
1317859200,4.9,4.9,3.8,4.1,246710.0
1318291200,4.1,4.4,3.7,3.8,192360.0
1318723200,3.8,3.9,2.0,2.3,482220.0
1319155200,2.3,3.3,2.3,2.8,423810.0
1319587200,2.8,3.8,2.7,3.3,270700.0
1320019200,3.3,3.4,3.0,3.1,165210.0
1320451200,3.1,3.2,2.8,3.0,206720.0
1320883200,3.0,3.1,2.1,2.2,490980.0
1321315200,2.2,2.6,2.0,2.2,414350.0
1321747200,2.2,2.6,2.2,2.4,282940.0
1322179200,2.4,3.0,2.4,2.8,325050.0
1322611200,2.8,3.1,2.6,2.8,459750.0
1323043200,2.8,3.1,2.8,3.0,218930.0
1323475200,3.0,3.4,2.9,3.2,327570.0
1323907200,3.2,3.7,3.1,3.5,227220.0
1324339200,3.5,4.5,3.5,3.9,327840.0
1324771200,3.9,4.4,3.8,4.2,286700.0
1325203200,4.2,5.5,4.1,4.9,473630.0
1325635200,4.9,7.2,4.8,7.1,637160.0
1326067200,7.1,7.2,5.8,6.4,558410.0
1326499200,6.4,7.2,4.6,5.9,766890.0
1326931200,5.9,6.6,5.9,6.4,308950.0
1327363200,6.4,6.4,5.1,5.6,498010.0
1327795200,5.6,6.2,5.3,6.1,307100.0
1328227200,6.1,6.1,5.4,5.7,363250.0
1328659200,5.7,6.0,5.3,5.5,518830.0
1329091200,5.5,5.7,3.9,4.4,932130.0
1329523200,4.4,4.5,4.1,4.4,325710.0
1329955200,4.4,5.2,4.4,5.0,439710.0
1330387200,5.0,5.0,4.5,4.6,304260.0
1330819200,4.6,5.1,4.6,4.9,273450.0
1331251200,4.9,5.4,4.8,5.3,252610.0
1331683200,5.3,5.4,5.2,5.3,198650.0
1332115200,5.3,5.3,4.5,4.7,413870.0
1332547200,4.7,4.8,4.3,4.8,291920.0
1332979200,4.8,5.1,4.7,5.0,229190.0
1333411200,5.0,5.0,4.7,4.7,302490.0
1333843200,4.7,5.0,4.6,4.9,247720.0
1334275200,4.9,5.0,4.7,5.0,252150.0
1334707200,5.0,5.5,5.0,5.2,327910.0
1335139200,5.2,5.2,4.9,5.1,239230.0
